KGW,SIR,Black Box
16.696966442608,28.602707387869,50.022400000000005
93.64311124492602,83.47900667159998,92.9958
39.030685880751996,25.916130552002006,52.5938
60.203086443805006,61.09764029372101,91.2459
36.853425523347006,51.58484965233399,78.189
26.88706840876801,44.33829483933102,68.1249
22.775356710080004,41.077245805789,66.8391
16.858977345266002,36.244708817982,62.5321
82.447880584055,61.810258122895995,82.9716
19.699988743832918,12.385194737842475,52.01283103625462
41.72545998333427,11.260316548018723,64.98584115018355
41.50331931896218,13.357433655061733,75.04787839394754
31.71027951627192,12.945792033862086,66.7520291276675
24.203663791991858,11.709901148193362,57.300735080655684
21.470526180326424,13.563279595022454,57.708207771929565
21.250809656533352,13.579691080401737,55.251461437031466
